Date;SSS;SST;Oxygen (mmol m-3);SPCO2 (Pa);NO3 (mmol m-3);PO4 (mmol m-3);Si (mmol m-3);Fe (mmol m-3);Chl-a (mg m-3);Zoo as carbon (mmol m-3)
2022-04-16T00:00:00.000Z;32.79061127;29.82302284;200.0440979;40.81562042;0.005046218;0.104371011;3.074241877;0.00109109;0.128771931;0.418515116
2022-04-17T00:00:00.000Z;32.68684769;29.73732758;199.9020844;41.00831985;0.005429742;0.102709778;3.065148592;0.001085566;0.132546544;0.474259645
2022-04-18T00:00:00.000Z;32.80129242;29.941679;199.9094238;41.2773819;0.004839565;0.101416335;3.058140039;0.00108214;0.133798212;0.508911848
2022-04-19T00:00:00.000Z;32.71889496;30.37601852;199.9561462;41.79073334;0.004478817;0.101027519;3.055825472;0.001078939;0.134306371;0.532382786
2022-04-20T00:00:00.000Z;32.53730774;30.5620594;199.9955902;42.1026001;0.004082037;0.100725569;3.081552744;0.001084292;0.13429527;0.544514954
2022-04-21T00:00:00.000Z;32.37861252;30.2720108;200.084259;41.90753555;0.003099748;0.099349611;3.135418653;0.001103775;0.132296741;0.547377586
2022-04-22T00:00:00.000Z;32.22754669;30.27127838;200.01297;41.70149231;0.003077771;0.095522217;3.252481699;0.001143508;0.129609659;0.534802556
2022-04-23T00:00:00.000Z;32.15277481;30.45585442;200.2618866;41.61626053;0.003919943;0.089048311;3.426753521;0.001201735;0.127598122;0.512570381
2022-04-24T00:00:00.000Z;32.15735245;30.5518055;200.5022736;41.50736237;0.003965127;0.083631784;3.545219183;0.001240206;0.127130866;0.493560404
2022-04-25T00:00:00.000Z;32.20465851;30.60673904;200.5759888;41.59575272;0.004223012;0.081891514;3.557684898;0.001237607;0.128594056;0.462629944
2022-04-26T00:00:00.000Z;32.22907257;30.72466278;200.5337677;41.74571609;0.005235958;0.081842445;3.521295547;0.001221428;0.132584766;0.421751022
2022-04-27T00:00:00.000Z;32.26416779;30.56498909;200.0780487;41.71767807;0.005465514;0.081680238;3.481910229;0.001206201;0.135553256;0.391991585
2022-04-28T00:00:00.000Z;32.28247833;30.29325294;200.2357788;41.44779968;0.003732679;0.082672283;3.465525389;0.001194936;0.130015269;0.409991533
2022-04-29T00:00:00.000Z;32.299263;30.04934883;200.4219055;41.22751999;0.003209081;0.084146097;3.44283247;0.001183737;0.125298306;0.426014453
2022-04-30T00:00:00.000Z;32.42744064;30.18338585;200.3643188;41.23663712;0.002867253;0.084957987;3.411496878;0.00117143;0.12354473;0.447196484
2022-05-01T00:00:00.000Z;32.65785599;30.07278633;200.3280029;41.14393234;0.00220343;0.086937413;3.371594191;0.001160556;0.120842092;0.474011898
2022-05-02T00:00:00.000Z;32.85622787;30.06326485;200.2934418;41.03293228;0.002074054;0.090630099;3.299262524;0.001150192;0.11853873;0.475033402
2022-05-03T00:00:00.000Z;32.85775375;30.21780968;200.1410065;41.12022781;0.002562926;0.092990376;3.236362219;0.001143539;0.120516203;
2022-05-04T00:00:00.000Z;32.86690903;30.41117668;199.9895782;41.28941727;0.003226759;0.093053214;3.296444178;0.001144641;0.123982012;
2022-05-05T00:00:00.000Z;32.85317612;30.47270203;199.5304108;41.41878891;0.003631563;0.092256002;3.433679342;0.001158257;0.126761228;
2022-05-06T00:00:00.000Z;32.85165024;30.18118858;199.6472473;41.25857925;0.002154557;0.092628546;3.49873662;0.001189404;0.124207944;
2022-05-07T00:00:00.000Z;32.91268539;30.14822769;199.5630798;40.89830399;0.001677704;0.093816385;3.531472206;0.001235645;0.121964112;
2022-05-08T00:00:00.000Z;32.9569397;30.11233902;199.6316376;40.65154266;0.001659279;0.096570075;3.563410759;0.001318541;0.120198816;
2022-05-09T00:00:00.000Z;32.94320679;30.23246002;199.7382202;40.47104263;0.00271062;0.100302905;3.492250681;0.001414296;0.119461805;
2022-05-10T00:00:00.000Z;32.09173965;29.8318119;199.098526;40.10989761;0.003666778;0.100653492;3.545433998;0.001501779;0.120463796;
2022-05-11T00:00:00.000Z;32.46101379;29.66994286;199.2131042;39.94461823;0.002416388;0.097002223;3.572773933;0.001424872;0.117731214;
2022-05-12T00:00:00.000Z;32.65633011;30.02664185;199.0522156;40.46304321;0.003976058;0.094186872;3.360262156;0.001194017;0.116461664;
2022-05-13T00:00:00.000Z;32.70211029;30.20682335;198.8693695;40.91649628;0.005313571;0.093458056;3.261874914;0.001137262;0.120923251;
2022-05-14T00:00:00.000Z;32.65633011;30.1782589;198.8028564;40.71117401;0.004641728;0.09355066;3.303327799;0.001192207;0.121776365;
2022-05-15T00:00:00.000Z;32.65633011;29.94460869;198.8127441;40.35668564;0.003238889;0.092779033;3.323531866;0.001188688;0.119387105;
2022-05-16T00:00:00.000Z;32.73720551;30.11526871;198.6990662;40.26063156;0.002955818;0.091313064;3.249922037;0.001118438;0.118893564;
2022-05-17T00:00:00.000Z;32.7234726;30.10574722;198.480011;40.2335968;0.002918012;0.090707496;3.195554972;0.001090212;0.118622832;
2022-05-18T00:00:00.000Z;32.70973969;30.05301094;198.7258759;40.10013962;0.002785936;0.091195703;3.222257376;0.001120889;0.116462052;
2022-05-19T00:00:00.000Z;32.7448349;30.15115738;199.0059814;40.16570282;0.002304663;0.091878846;3.262039185;0.001148207;0.115095444;
2022-05-20T00:00:00.000Z;32.78145599;30.09329414;199.0901031;40.29172516;0.001714745;0.092638381;3.291610956;0.001164302;0.113087222;
2022-05-21T00:00:00.000Z;32.84096909;30.04934883;199.212326;40.25627899;0.001407744;0.094297841;3.352309704;0.001220562;0.1113296;
2022-05-22T00:00:00.000Z;32.89437485;30.03470039;199.339798;40.18489456;0.0014524;0.097039096;3.452991724;0.001328465;0.109910361;
2022-05-23T00:00:00.000Z;32.9264183;30.01565552;199.4667206;40.11618805;0.00180819;0.098952532;3.589912176;0.001486023;0.110310405;
2022-05-24T00:00:00.000Z;32.90963364;30.13724136;199.2360992;40.05184937;0.003481022;0.098740108;3.677001715;0.001588375;0.112260707;
2022-05-25T00:00:00.000Z;32.72957611;29.8047123;199.2281799;39.84783173;0.003315344;0.097868495;3.628438473;0.001516656;0.112271845;
